Key,Institute_name,Branch,Sub_category,State_Quota,GE_CR,SC_CR,ST_CR,OBC_CR,year
4182,Indian Institute of Information Technology Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,30681,7331,6072,11923,2017
4183,Indian Institute of Information Technology Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,508,,,544,2017
4184,Indian Institute of Information Technology Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,34564,7830,5928,13144,2017
4185,Indian Institute of Information Technology Bhopal,"Information Technology (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,33597,8149,6121,12991,2017
4186,Indian Institute of Information Technology Bhopal,"Information Technology (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,1320,,,1047,2017
4187,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Computer Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,32845,7132,5480,12403,2017
4188,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Computer Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,942,,,,2017
4189,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Electronics and Communication Engineering with specialization in Design and Manufacturing (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,34645,7757,3969,12790,2017
4190,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Mechanical Engineering with specialization in Design and Manufacturing (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,35947,8015,4418,13155,2017
4191,Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,25867,6784,5637,9004,2017
4192,Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,32112,7369,4922,11415,2017
4193,Indian Institute of Information Technology Lucknow,"Information Technology (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,24230,5651,5980,10302,2017
4194,Indian Institute of Information Technology Lucknow,"Information Technology (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,1264,,,,2017
4195,Indian Institute of Information Technology Manipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,37474,8473,6704,13578,2017
4196,Indian Institute of Information Technology Manipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,39507,8608,7232,13970,2017
4197,"Indian Institute of Information Technology Srirangam, Tiruchirappalli","Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,23021,5246,5279,7175,2017
4198,"Indian Institute of Information Technology Srirangam, Tiruchirappalli","Computer Science and Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,,,,1095,2017
4199,"Indian Institute of Information Technology Srirangam, Tiruchirappalli","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,27719,5485,4411,9368,2017
4200,Indian Institute of Information Technology Surat,"Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,28616,7367,5644,11248,2017
4201,Indian Institute of Information Technology Surat,"Computer Science and Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,344,,,,2017
4202,Indian Institute of Information Technology Surat,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,33436,8039,4587,12908,2017
4203,Indian Institute of Information Technology Surat,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,1781,,,,2017
4204,Indian Institute of Information Technology(IIIT) Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,29813,7961,4855,11810,2017
4205,Indian Institute of Information Technology(IIIT) Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,1423,,,,2017
4206,Indian Institute of Information Technology(IIIT) Dharwad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,33432,8082,4026,12659,2017
4207,Indian Institute of Information Technology(IIIT) Dharwad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,1447,,,,2017
4208,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,34298,7784,5941,12493,2017
4209,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,1763,,,,2017
4210,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,21979,6912,5537,9301,2017
4211,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Computer Science and Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,1778,,,,2017
