Sl#,key,Institute,Branch,Course,Sub Category,State Quota,State,GE_CR,SC_CR,ST_CR,OBC_CR,Year
102,"DIT University, Mussoorie Diversion Road, Dehradun, UttarakhandDITCIV4BFALSEOTHERSTATE","DIT University, Mussoorie Diversion Road, Dehradun, Uttarakhand",Civil Engineering,DITCIV4B,FALSE,OTHERSTATE,State,353607,476656,426546,63909,2014
103,"DIT University, Mussoorie Diversion Road, Dehradun, UttarakhandDITCSE4BFALSEOTHERSTATE","DIT University, Mussoorie Diversion Road, Dehradun, Uttarakhand",Computer Science & Engineering,DITCSE4B,FALSE,OTHERSTATE,KL,284917,740953,663122,,2014
104,"DIT University, Mussoorie Diversion Road, Dehradun, UttarakhandDITCSD5MFALSEOTHERSTATE","DIT University, Mussoorie Diversion Road, Dehradun, Uttarakhand",Computer Science & Engineering 5 year dual degree,DITCSD5M,FALSE,OTHERSTATE,KL,179036,411150,182135,36400,2014
105,"DIT University, Mussoorie Diversion Road, Dehradun, UttarakhandDITELE4BFALSEOTHERSTATE","DIT University, Mussoorie Diversion Road, Dehradun, Uttarakhand",Electrical Engineering,DITELE4B,FALSE,OTHERSTATE,KL,222066,842838,791001,40142,2014
106,"DIT University, Mussoorie Diversion Road, Dehradun, UttarakhandDITECE4BFALSEOTHERSTATE","DIT University, Mussoorie Diversion Road, Dehradun, Uttarakhand",Electronics & Communication Engineering,DITECE4B,FALSE,OTHERSTATE,KL,313155,459837,568497,,2014
107,"DIT University, Mussoorie Diversion Road, Dehradun, UttarakhandDITICT4BFALSEOTHERSTATE","DIT University, Mussoorie Diversion Road, Dehradun, Uttarakhand",Information & Communication Technology,DITICT4B,FALSE,OTHERSTATE,LD,309612,187113,201759,47378,2014
108,"DIT University, Mussoorie Diversion Road, Dehradun, UttarakhandDITITY4BFALSEOTHERSTATE","DIT University, Mussoorie Diversion Road, Dehradun, Uttarakhand",Information Technology,DITITY4B,FALSE,OTHERSTATE,KL,290055,,,,2014
109,"DIT University, Mussoorie Diversion Road, Dehradun, UttarakhandDITMEC4BFALSEOTHERSTATE","DIT University, Mussoorie Diversion Road, Dehradun, Uttarakhand",Mechanical Engineering,DITMEC4B,FALSE,OTHERSTATE,KL,343340,517497,715737,59880,2014
110,"DIT University, Mussoorie Diversion Road, Dehradun, UttarakhandDITMED5MFALSEOTHERSTATE","DIT University, Mussoorie Diversion Road, Dehradun, Uttarakhand",Mechanical Engineering - 5 Yrs Dual Degree,DITMED5M,FALSE,OTHERSTATE,KL,92575,405439,408860,208121,2014
111,"DIT University, Mussoorie Diversion Road, Dehradun, UttarakhandDITPTO4BFALSEOTHERSTATE","DIT University, Mussoorie Diversion Road, Dehradun, Uttarakhand",Petroleum Engineering,DITPTO4B,FALSE,OTHERSTATE,KL,273384,597576,511631,168414,2014
112,"Jagannath University, HaryanaDJHCIV4BFALSEOTHERSTATE","Jagannath University, Haryana",Civil Engineering,DJHCIV4B,FALSE,OTHERSTATE,LD,56951,575941,180674,83157,2014
113,"Jagannath University, HaryanaDJHCOS4BFALSEOTHERSTATE","Jagannath University, Haryana",Computer Science,DJHCOS4B,FALSE,OTHERSTATE,State,169599,636373,,,2014
114,"Jagannath University, HaryanaDJHELE4BFALSEOTHERSTATE","Jagannath University, Haryana",Electrical Engineering,DJHELE4B,FALSE,OTHERSTATE,KL,289264,582760,,,2014
115,"Jagannath University, HaryanaDJHMEC4BFALSEOTHERSTATE","Jagannath University, Haryana",Mechanical Engineering,DJHMEC4B,FALSE,OTHERSTATE,KL,338228,160351,190762,80488,2014
116,"Jagannath University, Jaipur (Rajasthan)DJJARC5AFALSEOTHERSTATE","Jagannath University, Jaipur (Rajasthan)",Architecture,DJJARC5A,FALSE,OTHERSTATE,KL,75050,159582,123793,146493,2014
117,"Jagannath University, Jaipur (Rajasthan)DJJAUT4BFALSEOTHERSTATE","Jagannath University, Jaipur (Rajasthan)",Automobile Engineering,DJJAUT4B,FALSE,OTHERSTATE,KL,273640,147492,150520,51160,2014
118,"Jagannath University, Jaipur (Rajasthan)DJJCIV4BFALSEOTHERSTATE","Jagannath University, Jaipur (Rajasthan)",Civil Engineering,DJJCIV4B,FALSE,OTHERSTATE,WB,106741,596620,733805,110665,2014
119,"Jagannath University, Jaipur (Rajasthan)DJJCOS4BFALSEOTHERSTATE","Jagannath University, Jaipur (Rajasthan)",Computer Science,DJJCOS4B,FALSE,OTHERSTATE,WB,15660,723460,97811,23486,2014
120,"Jagannath University, Jaipur (Rajasthan)DJJELE4BFALSEOTHERSTATE","Jagannath University, Jaipur (Rajasthan)",Electrical Engineering,DJJELE4B,FALSE,OTHERSTATE,AN,398569,,534411,,2014
121,"Jagannath University, Jaipur (Rajasthan)DJJECO4BFALSEOTHERSTATE","Jagannath University, Jaipur (Rajasthan)",Electronics & Comm.,DJJECO4B,FALSE,OTHERSTATE,State,242467,58503,58888,16027,2014
122,"Jagannath University, Jaipur (Rajasthan)DJJECO4BTRUEOTHERSTATE","Jagannath University, Jaipur (Rajasthan)",Electronics & Comm.,DJJECO4B,TRUE,OTHERSTATE,WB,595718,730723,,163817,2014
123,"Jagannath University, Jaipur (Rajasthan)DJJENV4BFALSEOTHERSTATE","Jagannath University, Jaipur (Rajasthan)",Environmental Engineering,DJJENV4B,FALSE,OTHERSTATE,WB,3910,54644,802166,10390,2014
124,"Jagannath University, Jaipur (Rajasthan)DJJMEC4BFALSEOTHERSTATE","Jagannath University, Jaipur (Rajasthan)",Mechanical Engg.,DJJMEC4B,FALSE,OTHERSTATE,WB,279341,621400,,169663,2014
125,"J.K. Institute of Applied Physics & Technology, University of AllahabadDJKCSE4BFALSEOTHERSTATE","J.K. Institute of Applied Physics & Technology, University of Allahabad",Computer Science & Engineering,DJKCSE4B,FALSE,OTHERSTATE,WB,37852,152053,364587,69190,2014
126,"J.K. Institute of Applied Physics & Technology, University of AllahabadDJKCSE4BTRUEOTHERSTATE","J.K. Institute of Applied Physics & Technology, University of Allahabad",Computer Science & Engineering,DJKCSE4B,TRUE,OTHERSTATE,AN,813780,,,99446,2014
127,"J.K. Institute of Applied Physics & Technology, University of AllahabadDJKECE4BFALSEOTHERSTATE","J.K. Institute of Applied Physics & Technology, University of Allahabad",Electronics & Communication Engineering,DJKECE4B,FALSE,OTHERSTATE,AN,36432,154026,354382,75420,2014
128,"Shri Mata Vaishno Devi University, J&KDJTARC5AFALSEOTHERSTATE","Shri Mata Vaishno Devi University, J&K",Architecture,DJTARC5A,FALSE,OTHERSTATE,WB,20390,,,,2014
129,"Shri Mata Vaishno Devi University, J&KDJTCSE4BFALSEOTHERSTATE","Shri Mata Vaishno Devi University, J&K",Computer Science & Engineering,DJTCSE4B,FALSE,OTHERSTATE,WB,165185,169267,125751,76743,2014
130,"Shri Mata Vaishno Devi University, J&KDJTECE4BFALSEOTHERSTATE","Shri Mata Vaishno Devi University, J&K",Electronics & Communication Engineering,DJTECE4B,FALSE,OTHERSTATE,WB,155441,,,455716,2014
131,"Shri Mata Vaishno Devi University, J&KDJTIBT4BFALSEOTHERSTATE","Shri Mata Vaishno Devi University, J&K",Industrial Bio-Technology,DJTIBT4B,FALSE,OTHERSTATE,AN,299059,181790,218843,70961,2014
132,"Shri Mata Vaishno Devi University, J&KDJTMEC4BFALSEOTHERSTATE","Shri Mata Vaishno Devi University, J&K",Mechanical Engineering,DJTMEC4B,FALSE,OTHERSTATE,State,122099,150766,135529,81666,2014
133,"Jodhpur National University, JodhpurDJUCIV4BFALSEOTHERSTATE","Jodhpur National University, Jodhpur",Civil Engineering,DJUCIV4B,FALSE,OTHERSTATE,WB,321193,641124,675862,,2014
134,"Jodhpur National University, JodhpurDJUCSE4BFALSEOTHERSTATE","Jodhpur National University, Jodhpur",Computer Science & Engineering,DJUCSE4B,FALSE,OTHERSTATE,WB,287459,516012,580446,385954,2014
135,"Jodhpur National University, JodhpurDJUELE4BFALSEOTHERSTATE","Jodhpur National University, Jodhpur",Electrical Engineering,DJUELE4B,FALSE,OTHERSTATE,WB,334346,98198,129266,373372,2014
136,"Jodhpur National University, JodhpurDJUECE4BFALSEOTHERSTATE","Jodhpur National University, Jodhpur",Electronics & Communication Engineering,DJUECE4B,FALSE,OTHERSTATE,WB,336579,69150,50072,23096,2014
137,"Jodhpur National University, JodhpurDJUMEC4BFALSEOTHERSTATE","Jodhpur National University, Jodhpur",Mechanical Engineering,DJUMEC4B,FALSE,OTHERSTATE,WB,329808,656595,600233,,2014
138,"Mizoram University, AizawlDMUCOE4BFALSEOTHERSTATE","Mizoram University, Aizawl",Computer Engineering,DMUCOE4B,FALSE,OTHERSTATE,AN,208485,351646,626219,20857,2014
139,"Mizoram University, AizawlDMUELE4BFALSEOTHERSTATE","Mizoram University, Aizawl",Electrical Engineering,DMUELE4B,FALSE,OTHERSTATE,WB,213268,361775,397609,,2014
140,"Mizoram University, AizawlDMUECE4BFALSEOTHERSTATE","Mizoram University, Aizawl",Electronics & Communication Engineering,DMUECE4B,FALSE,OTHERSTATE,AN,200439,341054,451347,240312,2014
141,"Mizoram University, AizawlDMUITY4BFALSEOTHERSTATE","Mizoram University, Aizawl",Information Technology,DMUITY4B,FALSE,OTHERSTATE,WB,255136,367435,721915,50157,2014
148,"Shobhit University, NH-58, ModipuramDSMCID5MFALSEOTHERSTATE","Shobhit University, NH-58, Modipuram",Civil Engineering - 5 year Dual Degree,DSMCID5M,FALSE,OTHERSTATE,WB,,633230,,254125,2014
149,"Shobhit University, NH-58, ModipuramDSMEEE4BFALSEOTHERSTATE","Shobhit University, NH-58, Modipuram",Electrical & Electronics Engineering,DSMEEE4B,FALSE,OTHERSTATE,WB,6731,481866,91406,13215,2014
150,"Shobhit University, Gangoh, SaharanpurDSSCIV4BFALSEOTHERSTATE","Shobhit University, Gangoh, Saharanpur",Civil Engineering,DSSCIV4B,FALSE,OTHERSTATE,WB,201417,283571,622969,,2014
151,"Shobhit University, Gangoh, SaharanpurDSSCID5MFALSEOTHERSTATE","Shobhit University, Gangoh, Saharanpur",Civil Engineering - 5 year Dual Degree,DSSCID5M,FALSE,OTHERSTATE,WB,126603,,661321,314049,2014
152,"Shobhit University, Gangoh, SaharanpurDSSCSE4BFALSEOTHERSTATE","Shobhit University, Gangoh, Saharanpur",Computer Science & Engineering,DSSCSE4B,FALSE,OTHERSTATE,WB,,,530858,142731,2014
153,"Shobhit University, Gangoh, SaharanpurDSSECE4BFALSEOTHERSTATE","Shobhit University, Gangoh, Saharanpur",Electronics & Communication Engineering,DSSECE4B,FALSE,OTHERSTATE,WB,8584,421571,50066,14363,2014
154,"Shobhit University, Gangoh, SaharanpurDSSMEC4BFALSEOTHERSTATE","Shobhit University, Gangoh, Saharanpur",Mechanical Engineering,DSSMEC4B,FALSE,OTHERSTATE,GO,350962,679677,700769,,2014
155,"Shobhit University, Gangoh, SaharanpurDSSMED5MFALSEOTHERSTATE","Shobhit University, Gangoh, Saharanpur",Mechanical Engineering - 5 Yrs Dual Degree,DSSMED5M,FALSE,OTHERSTATE,GO,63004,388235,367103,104217,2014
156,"Sharda University, Greater Noida, UPDSUCIV4BFALSEOTHERSTATE","Sharda University, Greater Noida, UP",Civil Engineering,DSUCIV4B,FALSE,OTHERSTATE,GO,330046,,,,2014
157,"Sharda University, Greater Noida, UPDSUCSE4BFALSEOTHERSTATE","Sharda University, Greater Noida, UP",Computer Science & Engineering,DSUCSE4B,FALSE,OTHERSTATE,GO,317500,128988,205207,37146,2014
158,"Sharda University, Greater Noida, UPDSUMEC4BFALSEOTHERSTATE","Sharda University, Greater Noida, UP",Mechanical Engg.,DSUMEC4B,FALSE,OTHERSTATE,GO,346211,,,,2014
159,"Sityog Institute of Technology, Aurangabad, BiharDSYCIV4BFALSEOTHERSTATE","Sityog Institute of Technology, Aurangabad, Bihar",Civil Engineering,DSYCIV4B,FALSE,OTHERSTATE,GO,232090,96075,99294,27708,2014
160,"Sityog Institute of Technology, Aurangabad, BiharDSYELE4BFALSEOTHERSTATE","Sityog Institute of Technology, Aurangabad, Bihar",Electrical Engineering,DSYELE4B,FALSE,OTHERSTATE,GO,283354,,,220727,2014
161,"Sityog Institute of Technology, Aurangabad, BiharDSYMEC4BFALSEOTHERSTATE","Sityog Institute of Technology, Aurangabad, Bihar",Mechanical Engineering,DSYMEC4B,FALSE,OTHERSTATE,State,334958,95281,156749,23665,2014
162,"Tezpur University, TezpurDTUCIV4BFALSEOTHERSTATE","Tezpur University, Tezpur",Civil Engineering,DTUCIV4B,FALSE,OTHERSTATE,HP,96036,266636,203456,152310,2014
163,"Tezpur University, TezpurDTUCSE4BFALSEOTHERSTATE","Tezpur University, Tezpur",Computer Science & Engineering,DTUCSE4B,FALSE,OTHERSTATE,HP,128629,268345,310747,164631,2014
164,"Tezpur University, TezpurDTUCSE4BTRUEOTHERSTATE","Tezpur University, Tezpur",Computer Science & Engineering,DTUCSE4B,TRUE,OTHERSTATE,HP,606522,,,589655,2014
165,"Tezpur University, TezpurDTUECE4BFALSEOTHERSTATE","Tezpur University, Tezpur",Electronics & Communication Engineering,DTUECE4B,FALSE,OTHERSTATE,HP,114280,202326,251175,163473,2014
166,"Tezpur University, TezpurDTUECE4BTRUEOTHERSTATE","Tezpur University, Tezpur",Electronics & Communication Engineering,DTUECE4B,TRUE,OTHERSTATE,HP,17837,387539,119224,23882,2014
167,"Tezpur University, TezpurDTUFET4BFALSEOTHERSTATE","Tezpur University, Tezpur",Food Engineering and Technology,DTUFET4B,FALSE,OTHERSTATE,HP,172342,310740,392367,208950,2014
168,"Tezpur University, TezpurDTUMEC4BFALSEOTHERSTATE","Tezpur University, Tezpur",Mechanical Engineering,DTUMEC4B,FALSE,OTHERSTATE,HP,89093,211833,239989,147374,2014
169,"School of Planning & Architecture, VijayawadaDVJARC5AFALSEOTHERSTATE","School of Planning & Architecture, Vijayawada",Architecture,DVJARC5A,FALSE,OTHERSTATE,HP,7391,32427,27794,18430,2014
170,"School of Planning & Architecture, VijayawadaDVJARC5ATRUEOTHERSTATE","School of Planning & Architecture, Vijayawada",Architecture,DVJARC5A,TRUE,OTHERSTATE,State,74548,99320,132428,161020,2014
171,"School of Planning & Architecture, VijayawadaDVJPLN5PFALSEOTHERSTATE","School of Planning & Architecture, Vijayawada",Planning,DVJPLN5P,FALSE,OTHERSTATE,JR,12505,44789,33676,24543,2014
172,Indian Institute of Information Technology (Amethi Campus)IAAITY4BFALSEOTHERSTATE,Indian Institute of Information Technology (Amethi Campus),Information Technology,IAAITY4B,FALSE,OTHERSTATE,JR,24584,187775,351626,42693,2014
173,Indian Institute of Information Technology (Amethi Campus)IAAITY4BTRUEOTHERSTATE,Indian Institute of Information Technology (Amethi Campus),Information Technology,IAAITY4B,TRUE,OTHERSTATE,JR,144069,,,,2014
